trade_num,entry_time,exit_time,symbol,side,entry,sl,tp,exit,outcome,sl_pips,r_multiple,risk_amount,pnl,balance,bars_held,comment
61,2025-11-05 08:25:00,2025-11-05 08:30:00,EURUSD,SELL,1.14916,1.1493300000000002,1.1488199999999995,1.1488199999999995,WIN,17.000000000022553,2.0,75.90544223239581,151.81088446479163,15332.899330943956,1,Bearish ICT: Sweep+BOS+FVG (Disp=31.0p)
62,2025-11-20 08:40:00,2025-11-20 08:50:00,EURUSD,BUY,1.15143,1.15065,1.15299,1.15299,WIN,78.00000000000028,2.0,76.66449665471978,153.32899330943957,15486.228324253396,2,Bullish ICT: Sweep+BOS+FVG (Disp=145.0p)
63,2025-11-20 08:45:00,2025-11-20 08:50:00,EURUSD,BUY,1.15143,1.15065,1.15299,1.15299,WIN,78.00000000000028,2.0,77.43114162126697,154.86228324253395,15641.09060749593,1,Bullish ICT: Sweep+BOS+FVG (Disp=145.0p)
64,2025-11-21 07:30:00,2025-11-21 07:35:00,EURUSD,SELL,1.15045,1.1518400000000002,1.1476699999999995,1.1518400000000002,LOSS,139.00000000002242,-1.0,78.20545303747964,-78.20545303747964,15562.88515445845,1,Bearish ICT: Sweep+BOS+FVG (Disp=117.0p)
65,2025-11-21 07:35:00,2025-11-21 07:40:00,EURUSD,SELL,1.15045,1.1518400000000002,1.1476699999999995,1.1518400000000002,LOSS,139.00000000002242,-1.0,77.81442577229225,-77.81442577229225,15485.070728686158,1,Bearish ICT: Sweep+BOS+FVG (Disp=117.0p)
66,2025-12-03 08:15:00,2025-12-03 08:20:00,EURUSD,BUY,1.16651,1.16617,1.16719,1.16719,WIN,34.000000000000696,2.0,77.4253536434308,154.8507072868616,15639.92143597302,1,Bullish ICT: Sweep+BOS+FVG (Disp=93.0p)
67,2025-12-03 08:20:00,2025-12-03 08:25:00,EURUSD,BUY,1.16651,1.16617,1.16719,1.16719,WIN,34.000000000000696,2.0,78.1996071798651,156.3992143597302,15796.32065033275,1,Bullish ICT: Sweep+BOS+FVG (Disp=93.0p)
68,2025-12-10 14:10:00,2025-12-10 14:15:00,EURUSD,BUY,1.16584,1.1653399999999998,1.1668400000000003,1.1668400000000003,WIN,50.00000000001669,2.0,78.98160325166374,157.96320650332748,15954.283856836077,1,Bullish ICT: Sweep+BOS+FVG (Disp=138.0p)
69,2025-12-10 14:15:00,2025-12-10 14:20:00,EURUSD,BUY,1.16584,1.1653399999999998,1.1668400000000003,1.1668400000000003,WIN,50.00000000001669,2.0,79.77141928418038,159.54283856836076,16113.826695404437,1,Bullish ICT: Sweep+BOS+FVG (Disp=138.0p)
70,2025-12-19 08:35:00,2025-12-19 08:50:00,EURUSD,BUY,1.17081,1.1702899999999998,1.17185,1.17185,WIN,52.00000000000759,2.0,80.56913347702219,161.13826695404438,16274.964962358481,3,Bullish ICT: Sweep+BOS+FVG (Disp=77.0p)
71,2025-12-19 08:40:00,2025-12-19 08:50:00,EURUSD,BUY,1.17081,1.1702899999999998,1.17185,1.17185,WIN,52.00000000000759,2.0,81.37482481179241,162.74964962358482,16437.714611982065,2,Bullish ICT: Sweep+BOS+FVG (Disp=77.0p)
